facility_id|license|dba_name|facility_type|address|city|state|zip|latitude|longitude|location|has_location
29255|2548938|GATEWAY NEWSTAND|Grocery Store|150 N RIVERSIDE PLZ |CHICAGO|IL|60606|41.885089|-87.638406|(41.88508945576888, -87.63840559417186)|t
29256|2548952|MARIBEL M. FUENTES AND ENRIQUE R. FUENTES-ORTIZ|Mobile Frozen Desserts Vendor|4825 W ARTHINGTON ST|CHICAGO|IL|60644|41.869236|-87.745893|"
,  
(41.86923620697448, -87.74589271238392)"|t
29257|2548953|HOME RUN INN|Mobile Food Preparer|2300 S THROOP ST |CHICAGO|IL|60608|41.850451|-87.658798|(41.85045102427, -87.65879785567869)|t
29258|2548954|KAMEYA RAMEN|Restaurant|604 W BELMONT AVE|CHICAGO|IL|60657|41.940149|-87.644663|"
,  
(41.94014913764849, -87.6446627167078)"|t
29259|2548999|SUBWAY 3634|Restaurant|6449 N SHERIDAN RD |CHICAGO|IL|60626|41.999595|-87.660532|(41.99959505548609, -87.66053179154832)|t
29260|2549007|LA PIRAMIDE RESTAURANT CORPORATION|Restaurant|3645 W LAWRENCE AVE|CHICAGO|IL|60625|41.968220|-87.720084|"
,  
(41.96821956460815, -87.72008438172485)"|t
29261|2549016|PHILLY BROS|Restaurant|734 W FULLERTON AVE |CHICAGO|IL|60614|41.925579|-87.647689|(41.925579119724574, -87.64768921320083)|t
29262|2549020|DOMINOS|Restaurant|5410 W DEVON AVE|CHICAGO|IL|60646|41.997438|-87.764245|"
,  
(41.99743791297656, -87.76424485570789)"|t
29263|2549048|KERELYS|Restaurant|2934 N MILWAUKEE AVE |CHICAGO|IL|60618|41.934479|-87.716508|(41.93447944793928, -87.71650804469363)|t
29264|2549062|CITGO|gas station|6367-6373 N Milwaukee AVE |CHICAGO|IL|60646|41.996703|-87.787087|(41.99670262248633, -87.78708673652662)|t
29265|2549065|CHARTWELLS|CHARTER SCHOOL|1309 W 95TH ST |CHICAGO|IL|60643|41.721194|-87.655777|(41.72119387586951, -87.65577682324725)|t
29266|2549066|CHARTWELLS|School|1443 N Ogden AVE |CHICAGO|IL|60610|41.907781|-87.645531|(41.907780920632895, -87.64553120069333)|t
29267|2549067|CHARTWELLS|CHARTER SCHOOL|3900 W PETERSON AVE |CHICAGO|IL|60659|41.990272|-87.726535|(41.990272088617644, -87.72653467751327)|t
29268|2549068|CHARTWELLS|CHARTER SCHOOL|1817 W 80TH ST |CHICAGO|IL|60620|41.748355|-87.668973|(41.74835503664928, -87.66897347509745)|t
29269|2549069|CHARTWELLS|CHARTER SCHOOL|1501 E 83RD PL |CHICAGO|IL|60619|41.743152|-87.587883|(41.7431524490724, -87.58788286469822)|t
29270|2549074|CHARTWELLS|PREP INSIDE SCHOOL|3820 N SPAULDING AVE |CHICAGO|IL|60618|41.950902|-87.710529|(41.95090200753495, -87.71052949972038)|t
29271|2549075|CHARTWELLS|CHARTER SCHOOL|13300 S LANGLEY AVE|CHICAGO|IL|60827|41.653637|-87.605071|"
,  
(41.65363660026574, -87.60507067062306)"|t
